Time,Node 2 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)
07/31/2013 10:34,0.74
07/31/2013 10:50,0.74
07/31/2013 11:07,0.74
07/31/2013 11:39,0.58
07/31/2013 11:55,0.66
07/31/2013 12:11,0.66
07/31/2013 12:43,0.66
07/31/2013 13:00,0.74
07/31/2013 13:16,0.66
07/31/2013 13:32,0.66
07/31/2013 13:48,0.66
07/31/2013 17:02,0.58
07/31/2013 17:18,0.58
07/31/2013 17:34,0.58
07/31/2013 17:50,0.58
07/31/2013 18:06,0.58
07/31/2013 18:22,0.58
07/31/2013 18:39,0.58
07/31/2013 18:55,0.58
07/31/2013 19:11,0.58
07/31/2013 19:27,0.66
07/31/2013 19:43,0.66
,0.638
