Time,Node 5 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)
07/31/2013 10:32,1.56
07/31/2013 10:48,1.65
07/31/2013 11:04,1.73
07/31/2013 11:20,1.81
07/31/2013 11:37,1.73
07/31/2013 11:53,1.65
07/31/2013 12:09,1.56
07/31/2013 12:25,1.65
07/31/2013 12:41,1.56
07/31/2013 12:57,1.56
07/31/2013 13:13,1.48
07/31/2013 13:30,1.56
07/31/2013 13:46,1.48
07/31/2013 14:02,1.56
07/31/2013 16:59,1.4
07/31/2013 17:16,2.07
07/31/2013 17:32,1.56
07/31/2013 17:48,1.48
07/31/2013 18:04,1.4
07/31/2013 18:20,1.4
07/31/2013 18:36,1.4
07/31/2013 18:52,1.98
07/31/2013 19:09,1.56
07/31/2013 19:25,1.48
07/31/2013 19:41,1.4
07/31/2013 19:57,1.4
,1.580
