"Time","Node 5 : eS1100 Soil Moisture : Port 2 : [Soil Moisture] (centiBar)"
"08/11/2013 10:14","3.17"
"08/11/2013 10:30","3.09"
"08/11/2013 10:46","3.35"
"08/11/2013 11:02","3.35"
"08/11/2013 11:19","3.17"
"08/11/2013 11:35","3.17"
"08/11/2013 11:51","3.17"
"08/11/2013 12:07","3.09"
"08/11/2013 12:23","3.00"
"08/11/2013 12:39","3.17"
"08/11/2013 12:56","2.92"
"08/11/2013 17:30","2.92"
"08/11/2013 17:46","2.92"
"08/11/2013 18:02","3.00"
"08/11/2013 18:18","3.00"
"08/11/2013 18:35","3.00"
"08/11/2013 18:51","2.92"
"08/11/2013 19:07","3.00"
"08/11/2013 23:57","3.00"
"08/12/2013 00:14","3.00"
"08/12/2013 00:30","3.00"
"08/12/2013 00:46","3.09"
"08/12/2013 01:02","3.00"
