"Time","Node 5 : eS1100 Soil Moisture : Port 4 : [Soil Moisture] (centiBar)"
"08/08/2013 09:51","-0.38"
"08/08/2013 10:07","-0.46"
"08/08/2013 10:23","-0.46"
"08/08/2013 10:39","-0.46"
"08/08/2013 10:56","-0.46"
"08/08/2013 11:12","-0.54"
"08/08/2013 11:28","-0.54"
"08/08/2013 11:44","-0.54"
"08/08/2013 12:00","-0.54"
"08/08/2013 12:16","-0.54"
"08/08/2013 12:32","-0.22"
"08/08/2013 12:49","-0.38"
"08/08/2013 13:05","-0.46"
"08/08/2013 13:21","-0.46"
"08/08/2013 13:37","-0.46"
"08/08/2013 13:53","-0.61"
"08/08/2013 14:09","-0.54"
